Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
25,0.36284850913981614,0.0007086884944137034,0.3628485091396858,0.0007086884944134488,0.3628485091396858,0.0007086884944134488,0.0,0.0,0.3628485091396858,0.0007086884944134488,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0004070958755975629,0.8207378597621684,2560,2048,512,4.0,0
26,0.21573678159922594,0.00042136090156098815,0.21566678389735233,0.0004212241872995163,0.21566678389735233,0.0004212241872995163,0.0,6.99977016580533e-05,0.21566678389735233,0.0004212241872995163,0.00632852529319905,0.006258527591540997,3.0559216755571272e-06,0.00040900050059770876,0.19466530267991544,2560,2048,512,4.0,0
27,0.2011416064415883,0.00039285470008122714,0.2008113247582015,0.0003922096186683623,0.2008113247582015,0.0003922096186683623,0.0,0.0003302816830554889,0.2008113247582015,0.0003922096186683623,0.006615382607925824,0.006285100924870335,3.068896935971843e-06,0.000379934030925122,0.2034373699912635,2560,2048,512,4.0,0
28,0.3485206313341749,0.0006807043580745603,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392584198,3.7611074832662794,2560,2048,512,4.0,0
29,0.3485206313341749,0.0006807043580745603,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392584198,1.8512989339120267,2560,2048,512,4.0,0
30,0.3485206313341749,0.0006807043580745603,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392584198,3.291459878810514,2560,2048,512,4.0,0
31,0.3485206313341749,0.0006807043580745603,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392584198,2.6166808608925365,2560,2048,512,4.0,0
32,0.3485206313341749,0.0006807043580745603,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392584198,1.536724848060338,2560,2048,512,4.0,0
33,0.3485206313341749,0.0006807043580745603,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392584198,6.0,2560,2048,512,4.0,0
34,0.3485206313341749,0.0006807043580745603,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392584198,0.9513493656979719,2560,2048,512,4.0,0
35,0.3485206313341749,0.0006807043580745603,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392584198,1.606105490972972,2560,2048,512,4.0,0
36,0.348520631333713,0.0006807043580736583,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083385684,0.15441542083385684,7.539815470403166e-05,0.0003791117392575316,3.536921969170997,2560,2048,512,4.0,0
37,0.348520631333713,0.0006807043580736583,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083385684,0.15441542083385684,7.539815470403166e-05,0.0003791117392575316,1.9273924102536881,2560,2048,512,4.0,0
38,0.348520631333713,0.0006807043580736583,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083385684,0.15441542083385684,7.539815470403166e-05,0.0003791117392575316,3.956759870686824,2560,2048,512,4.0,0
39,0.348520631333713,0.0006807043580736583,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083385684,0.15441542083385684,7.539815470403166e-05,0.0003791117392575316,1.7224318826976912,2560,2048,512,4.0,0
40,0.36585434247248827,0.0007145592626415787,0.3658543424730166,0.0007145592626426106,0.3658543424730166,0.0007145592626426106,0.0,0.0,0.3658543424730166,0.0007145592626426106,0.15441542083385684,0.15441542083385684,7.539815470403166e-05,0.000412966643825452,2.4386591444956593,2560,2048,512,4.0,0
41,0.27395657707775456,0.0005350714396049894,0.21335623675819756,0.0004167113999183546,0.21335623675819756,0.0004167113999183546,0.0,0.06060034032007877,0.21335623675819756,0.0004167113999183546,0.06684777457827806,0.0062474342581992914,3.0505050088863728e-06,0.00040450937988179003,0.09381508051377807,2560,2048,512,4.0,0
42,0.348520631333713,0.0006807043580736583,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083385684,0.15441542083385684,7.539815470403166e-05,0.0003791117392575316,0.5172779406943278,2560,2048,512,4.0,0
43,0.3649222038057758,0.0007127386793081558,0.36492220380635076,0.0007127386793092788,0.36492220380635076,0.0007127386793092788,0.0,0.0,0.36492220380635076,0.0007127386793092788,0.15441542083385684,0.15441542083385684,7.539815470403166e-05,0.0004111460604920292,0.6832573143593663,2560,2048,512,4.0,0
44,0.2127992907687286,0.00041562361478267307,0.2126651647581975,0.0004153616499183545,0.2126651647581975,0.0004153616499183545,0.0,0.00013412601116158385,0.2126651647581975,0.0004153616499183545,0.006381560269360875,0.0062474342581992914,3.0505050088863728e-06,0.0004031596298815776,0.16631104491797544,2560,2048,512,4.0,0
45,0.3615449891390483,0.0007061425569122037,0.36154498913968536,0.000706142556913448,0.36154498913968536,0.000706142556913448,0.0,0.0,0.36154498913968536,0.000706142556913448,0.15441542083385684,0.15441542083385684,7.539815470403166e-05,0.0004045499380960771,0.5299917527839995,2560,2048,512,4.0,0
46,0.21014966961561754,0.000410448573468003,0.20981249675819966,0.0004097900327308587,0.20981249675819966,0.0004097900327308587,0.0,0.0003371728587069356,0.20981249675819966,0.0004097900327308587,0.006599320450249024,0.006262147591542089,3.0576892536826605e-06,0.0003975592757136104,0.21294766902295237,2560,2048,512,4.0,0
